Trajectories
100
,,Sub3:LFHD,,,Sub3:RFHD,,,Sub3:LBHD,,,Sub3:RBHD,,,Sub3:C7,,,Sub3:T10,,,Sub3:CLAV,,,Sub3:STRN,,,Sub3:LSHO,,,Sub3:RSHO,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
49,0,145.348953,326.005920,1364.872437,37.120480,327.029541,1367.094482,167.309738,468.620148,1354.749268,8.556641,461.836273,1357.917725,83.452736,523.827759,1155.913086,81.530495,575.539795,933.029175,90.917404,352.320831,1107.745361,93.832809,289.801483,956.061951,258.680695,423.710846,1134.772827,-82.648201,408.339508,1131.692993
50,0,145.322113,326.020569,1364.880859,37.090553,327.057465,1367.090942,167.296646,468.637024,1354.757324,8.578481,461.874023,1357.903442,83.454376,523.846802,1155.908691,81.539383,575.551697,933.024841,90.913094,352.334412,1107.761108,93.822220,289.779205,956.102966,258.678375,423.716248,1134.790405,-82.656601,408.363068,1131.706177
51,0,145.295090,326.038910,1364.890869,37.060802,327.089294,1367.088989,167.283920,468.658508,1354.765015,8.611887,461.915649,1357.887329,83.456345,523.867798,1155.903320,81.546745,575.561768,933.018005,90.905563,352.354492,1107.775757,93.810722,289.750824,956.148865,258.674713,423.721710,1134.808228,-82.664970,408.387024,1131.719360
52,0,145.267410,326.061218,1364.901978,37.030853,327.125671,1367.089478,167.271423,468.684601,1354.772949,8.645307,461.960602,1357.872314,83.458344,523.890320,1155.897339,81.552643,575.570435,933.009033,90.895081,352.379913,1107.789917,93.798531,289.721832,956.196899,258.669617,423.727600,1134.825439,-82.673340,408.411652,1131.732422
53,0,145.238998,326.087677,1364.914795,37.000549,327.166870,1367.093018,167.258911,468.715179,1354.780029,8.671911,462.008606,1357.859863,83.459915,523.914185,1155.891357,81.557129,575.578308,932.998413,90.882576,352.407898,1107.804321,93.785851,289.698395,956.243958,258.662842,423.733887,1134.842773,-82.681885,408.437042,1131.745239
54,0,145.210159,326.118073,1364.929565,36.970005,327.212830,1367.099609,167.246185,468.749756,1354.786255,8.687809,462.059296,1357.849976,83.460648,523.938477,1155.885132,81.560364,575.585693,932.987122,90.868805,352.435852,1107.820190,93.773087,289.686035,956.286865,258.654266,423.740234,1134.859741,-82.691025,408.463318,1131.757080
55,0,145.181564,326.152069,1364.946533,36.939640,327.263367,1367.109985,167.233063,468.787567,1354.791016,8.690509,462.112335,1357.842773,83.460220,523.962585,1155.879272,81.562592,575.592651,932.975830,90.854172,352.461823,1107.837646,93.760696,289.687469,956.323242,258.644012,423.746033,1134.876831,-82.701103,408.490540,1131.768311
56,0,145.153885,326.189148,1364.966064,36.910030,327.317657,1367.123901,167.219620,468.828003,1354.793945,8.677217,462.167023,1357.839478,83.458328,523.985535,1155.873413,81.564148,575.598633,932.965210,90.838852,352.484528,1107.857178,93.748886,289.701233,956.353210,258.632263,423.750702,1134.894409,-82.712234,408.518158,1131.778809
57,0,145.127548,326.229126,1364.987549,36.881733,327.374573,1367.141113,167.206100,468.870117,1354.794678,8.643581,462.222626,1357.840942,83.454796,524.007080,1155.868042,81.565338,575.603516,932.955627,90.823029,352.503296,1107.878906,93.737564,289.723480,956.377747,258.619324,423.753754,1134.911987,-82.724380,408.545715,1131.788574
58,0,145.102722,326.271698,1365.010498,36.855148,327.433044,1367.161499,167.192780,468.913147,1354.793579,8.583717,462.278320,1357.849487,83.449745,524.026917,1155.862549,81.566269,575.606445,932.947021,90.806839,352.518127,1107.902466,93.726608,289.751709,956.397827,258.605743,423.754944,1134.930054,-82.737503,408.572510,1131.797607
59,0,145.079407,326.316559,1365.034058,36.830524,327.491791,1367.184326,167.180038,468.956268,1354.790894,8.491410,462.333038,1357.867432,83.443596,524.044983,1155.857422,81.566910,575.607300,932.939392,90.790359,352.529327,1107.927002,93.716156,289.786346,956.413147,258.591980,423.753998,1134.947998,-82.751518,408.597992,1131.806274
60,0,145.057556,326.363129,1365.057861,36.808006,327.549683,1367.208618,167.168167,468.998596,1354.787476,8.362607,462.385895,1357.896973,83.437073,524.060974,1155.852661,81.567108,575.606018,932.932861,90.773750,352.537170,1107.952271,93.706566,289.829865,956.422363,258.578552,423.750885,1134.966431,-82.766083,408.621796,1131.814697
61,0,145.037308,326.410278,1365.080566,36.787636,327.605774,1367.234009,167.157440,469.039337,1354.783325,8.199803,462.436279,1357.937500,83.430916,524.074585,1155.848633,81.566727,575.602966,932.927551,90.757286,352.542084,1107.978149,93.697945,289.884613,956.424438,258.565643,423.745392,1134.984741,-82.780708,408.643555,1131.823975
62,0,145.018829,326.457001,1365.102539,36.769409,327.659271,1367.259644,167.148056,469.077728,1354.779053,8.014294,462.484161,1357.986816,83.425774,524.085754,1155.845215,81.565811,575.598511,932.923645,90.741241,352.544220,1108.004272,93.689728,289.949768,956.420044,258.553528,423.737213,1135.002930,-82.794968,408.663147,1131.834229
63,0,145.002335,326.501648,1365.123169,36.753262,327.709534,1367.285156,167.140106,469.113129,1354.774414,7.821236,462.529327,1358.040894,83.421982,524.094604,1155.842407,81.564674,575.593750,932.921448,90.725731,352.543945,1108.030884,93.680374,290.017151,956.414307,258.542145,423.725983,1135.020996,-82.808571,408.680511,1131.845825
64,0,144.987930,326.542847,1365.142456,36.739063,327.755981,1367.310059,167.133728,469.145020,1354.769775,7.635350,462.571777,1358.096191,83.419624,524.101135,1155.840698,81.563881,575.589539,932.920959,90.710686,352.541718,1108.057373,93.667519,290.071320,956.415405,258.531219,423.711426,1135.038574,-82.821449,408.695435,1131.859009
65,0,144.975311,326.579590,1365.160645,36.726536,327.798218,1367.333740,167.128952,469.173065,1354.764648,7.471231,462.611389,1358.147949,83.418633,524.105835,1155.840332,81.564209,575.586670,932.921997,90.695740,352.537933,1108.083252,93.649246,290.097595,956.430664,258.520294,423.693176,1135.055664,-82.833771,408.707916,1131.873901
66,0,144.963882,326.611115,1365.177246,36.715244,327.835754,1367.356567,167.125763,469.196869,1354.759277,7.339275,462.648071,1358.192383,83.418816,524.108948,1155.841309,81.566322,575.585571,932.924500,90.680344,352.532806,1108.107788,93.625092,290.091583,956.461548,258.509064,423.671143,1135.072021,-82.845741,408.718262,1131.889893
67,0,144.952820,326.636963,1365.192261,36.704647,327.868347,1367.377563,167.124207,469.216003,1354.753418,7.240858,462.681488,1358.227905,83.419884,524.110596,1155.843872,81.570511,575.586060,932.927856,90.663956,352.526428,1108.130493,93.595718,290.057404,956.504639,258.497040,423.645447,1135.086914,-82.857620,408.726990,1131.906372
68,0,144.941376,326.656952,1365.205322,36.694263,327.895691,1367.396729,167.124222,469.230194,1354.746948,7.170646,462.710876,1358.254517,83.421356,524.110474,1155.847412,81.576630,575.587952,932.931580,90.646187,352.518616,1108.150269,93.562141,290.001984,956.555298,258.483826,423.616272,1135.099976,-82.869797,408.734833,1131.922363
69,0,144.929062,326.670746,1365.215698,36.683758,327.917694,1367.413574,167.125626,469.239197,1354.739868,7.121167,462.735382,1358.273438,83.422806,524.108521,1155.851929,81.584190,575.590149,932.935364,90.626923,352.509491,1108.166870,93.525406,289.932495,956.609070,258.469421,423.584167,1135.110718,-82.882721,408.742340,1131.936890
70,0,144.915833,326.678345,1365.223145,36.672955,327.934235,1367.427856,167.128174,469.242798,1354.732422,7.085404,462.754211,1358.285645,83.423828,524.104614,1155.857056,81.592445,575.591797,932.938599,90.606285,352.499237,1108.179688,93.486595,289.855530,956.661926,258.453979,423.549744,1135.119141,-82.896660,408.750000,1131.948853
71,0,144.901855,326.679688,1365.227417,36.661674,327.945099,1367.439209,167.131516,469.240875,1354.724121,7.057839,462.767212,1358.293335,83.424232,524.098450,1155.862183,81.600548,575.592224,932.941101,90.584435,352.488098,1108.188477,93.446609,289.776489,956.710999,258.437744,423.513489,1135.124512,-82.911583,408.757935,1131.957397
72,0,144.887390,326.674744,1365.228394,36.649742,327.950134,1367.447510,167.135254,469.233368,1354.715576,7.034547,462.774170,1358.297485,83.423981,524.090210,1155.866821,81.607666,575.590820,932.942932,90.561440,352.476044,1108.192871,93.406166,289.699249,956.754211,258.421143,423.475952,1135.127686,-82.927284,408.766083,1131.962769
